timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw,setpoint_laser_dx_m,setpoint_laser_dy_m,cam_setpoint_pitch_rad,cam_setpoint_yaw_rad,cam_offset_pitch_rad,cam_offset_yaw_rad,mode_slew,dist_cm,omega_des_pitch_rad_s,omega_des_yaw_rad_s,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,error_sum_pitch,error_sum_yaw,omega1_act_rad_s,omega2_act_rad_s,u_ff_pitch,u_ff_yaw,u_fb_pitch,u_fb_yaw,e_pitch_rad,e_yaw_rad,Omega1_des_rad_s,Omega2_des_rad_s,cam_valid,laser_valid,active_target_idx,pid_pitch_on,pid_yaw_on,ff_pitch_on,ff_yaw_on
405.8174,0.01410,-0.46384,0.00437,0.05230,-0.07986,-0.00667,-0.00499,-0.00081,0.16306,0.19,0.19,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,170.592,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.00000,0.00000,214.45782,205.00458,0.00000,0.00000,0.00000,0.00000,-0.00437,-0.05230,0.00000,0.00000,1,1,0,1,1,1,1
405.9188,0.01329,-0.46976,-0.01879,0.04355,-0.07005,0.03020,-0.00073,-0.00028,0.16449,0.20,0.20,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,180.297,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.00000,0.00000,221.35583,211.54794,0.00000,0.00000,0.00000,0.00000,0.01879,-0.04355,0.00000,0.00000,1,1,0,1,1,1,1
406.0192,0.01346,-0.49476,0.02924,0.04615,-0.07353,-0.04657,0.00937,-0.00028,0.16752,0.20,0.20,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,180.908,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.00000,0.00000,228.93734,221.28567,0.00000,0.00000,0.00000,0.00000,-0.02924,-0.04615,0.00000,0.00000,1,1,0,1,1,1,1
406.1195,0.01898,-0.50697,-0.00207,0.01158,-0.01792,0.00320,0.01468,-0.00134,0.16841,0.21,0.21,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,176.993,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.00000,0.00000,234.64859,227.05931,0.00000,0.00000,0.00000,0.00000,0.00207,-0.01158,0.00000,0.00000,1,1,0,1,1,1,1
406.2198,nan,nan,nan,nan,nan,nan,0.02105,-0.00080,0.16718,0.21,0.21,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,nan,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.00000,0.00000,241.08608,233.72337,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,1,1,1
406.3207,nan,nan,nan,nan,nan,nan,0.02317,-0.00187,0.16761,0.22,0.22,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,nan,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.00000,0.00000,251.03621,240.78120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,1,1,1
406.4212,nan,nan,nan,nan,nan,nan,0.02528,-0.01677,0.18244,0.22,0.22,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,nan,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.00000,0.00000,255.87169,246.81562,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,1,1,1
406.5215,nan,nan,nan,nan,nan,nan,0.01570,-0.05719,0.12548,0.23,0.23,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,nan,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.00000,0.00000,262.09424,255.38289,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,1,1,1
406.6218,nan,nan,nan,nan,nan,nan,0.00931,0.03912,-0.22780,0.23,0.23,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,nan,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.00000,0.00000,269.83832,258.78028,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,1,1,1
406.7221,nan,nan,nan,nan,nan,nan,0.01304,-0.02154,-0.54281,0.24,0.24,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,nan,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.00000,0.00000,278.16475,265.21402,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0,1,1,1,1
