timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw
985.7210,-0.04102,-0.02031,0.00461,0.00189,-0.00252,-0.00617,-0.00703,0.01114,0.00208,0.00,0.41
985.8220,-0.04028,-0.02038,0.00345,0.00197,-0.00264,-0.00462,-0.00755,0.01060,0.00102,0.00,0.41
985.9223,-0.04006,-0.02044,0.00323,0.00203,-0.00271,-0.00432,-0.00808,0.00953,0.00049,0.00,0.41
986.0289,-0.03995,-0.02039,0.00312,0.00198,-0.00264,-0.00417,-0.00754,0.00686,-0.00005,0.00,0.41
986.1293,-0.04000,-0.02052,0.00317,0.00211,-0.00282,-0.00423,-0.00753,0.00420,-0.00005,0.00,0.41
986.2311,-0.04046,-0.02039,0.00405,0.00198,-0.00265,-0.00541,-0.00805,0.00260,-0.00270,0.00,0.41
986.3319,-0.04109,-0.02038,0.00468,0.00197,-0.00264,-0.00626,-0.00804,0.00100,-0.00004,0.00,0.40
986.4340,-0.04171,-0.02018,0.00573,0.00179,-0.00239,-0.00766,-0.00697,0.00046,-0.00004,0.00,0.40
986.5343,-0.04264,-0.02016,0.00623,0.00176,-0.00236,-0.00834,-0.00377,0.00206,-0.00111,0.00,0.40
986.6354,-0.04332,-0.02014,0.00691,0.00174,-0.00233,-0.00925,-0.00324,0.00206,-0.00164,0.00,0.40
986.7365,-0.04355,-0.02010,0.00715,0.00169,-0.00227,-0.00957,-0.00270,0.00365,-0.00110,0.00,0.40
986.8381,-0.04445,-0.02002,0.00805,0.00161,-0.00215,-0.01078,-0.00217,0.00418,-0.00057,0.00,0.40
986.9387,-0.04472,-0.02007,0.00832,0.00167,-0.00223,-0.01116,-0.00004,0.00577,-0.00057,0.00,0.40
987.0389,-0.04488,-0.01992,0.00848,0.00152,-0.00203,-0.01134,-0.00057,0.00576,-0.00163,0.00,0.40
987.1402,-0.04523,-0.02012,0.00883,0.00169,-0.00227,-0.01183,-0.00110,0.00788,-0.00057,0.00,0.40
987.2406,-0.04498,-0.02000,0.00858,0.00158,-0.00211,-0.01147,-0.00110,0.01053,-0.00110,0.00,0.40
987.3409,-0.04457,-0.01991,0.00860,0.00149,-0.00199,-0.01151,-0.00163,0.01158,0.00103,0.00,0.40
987.4413,-0.04426,-0.01995,0.00786,0.00153,-0.00205,-0.01050,-0.00217,0.01263,-0.00216,0.00,0.40
